,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
956,KITAZUKA COMERCIO DE PRODUTOS DE HIG LTDA.,J,"R R DR IGNACIO P DE GOUVEIA,956",SAO PAULO / SP,1134861437,54.958.251/0001-02,141581807119,,PARQUE PERUCHE,********,2534010,Ativo / Inativo,marbella.contatos@terra.com.br,,
957,MIRACLE COMERCIO DE TECIDOS LTDA,J,"R R OURO PRETO,288",BELO HORIZONTE / MG,3132752244,07.335.612/0001-84,623326700040,,BARRO PRETO,292,30170040,Ativo / Inativo,contato@visualtecidos.com.br,,
958,J C SILVA TECIDOS LTDA,J,"TV TEOFILO CONDURU,226",BELEM / PA,91983946071,26.520.610/0001-00,155429051,,CANUDOS,,66070530,Ativo / Ativo,mariahtecidospa@gmail.com,,
959,MAX TEXTIL LTDA,J,"AV SAO PAULO,259",GOIANIA / GO,6232338492,13.216.266/0001-18,104939222,,SETOR CAMPINAS,QUADRA69                  LOTE  15                  SALA  01,74510030,Ativo / Inativo,maxtextilltda@hotmail.com,,
960,SANTA CLARA CAXIENSE CONFECCOES LTDA,J,"R R PROFESSOR JOSE DE SOUZA HERDY,517",DUQUE DE CAXIAS / RJ,19991697549,28.080.141/0001-80,82672176,,JARDIM 25 DE AGOSTO,********,25075141,Ativo / Inativo,santaclaracaxienense@yahoo.com.br,,
961,VC & ALMEIDA TEXTIL LTDA,J,"R R ALMIRANTE BARROSO,529",SAO PAULO / SP,1126921813,32.156.723/0001-70,123309347110,,BRAS,********,3025001,Ativo / Inativo,vcalmeidatextil@gmail.com,,
962,ELCIO APARECIDO MORETI 22224085800,J,"R R PADRE JOSE DE ANCHIETA,375",MARILIA / SP,1433041372,27.006.201/0001-52,438390389110,,ALTO CAFEZAL,********,17504085,Ativo / Inativo,comercial@hurricanemodas.com.br,,
963,TEXTIL NAHAS EIRELI,J,"R R RUBINO DE OLIVEIRA,302",SAO PAULO / SP,1133155555,32.630.281/0002-33,123675307112,,BRAS,********,3012060,Ativo / Inativo,elainecompras@cassianahas.com.br,,
965,F.N. MATTAR COMERCIO DE TECIDOS E VARIEDADES EIRELI,J,"AV AV PEDRO MIRANDA,1537",BELEM / PA,9132412418,26.198.874/0001-99,155376985,,PEDREIRA,LETRA A,66085024,Ativo / Inativo,fnmattar@gmail.com,,
967,ZLATA TRANSPORTES E LOGISTICA LTDA,J,"R SANTA VITORIA,522",GUARULHOS / SP,1124013920,17.467.330/0002-75,796115706112,,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,********,7223120,Ativo / Ativo,,,
968,QUINTAL & ALINE DECORACOES LTDA,J,"R R 10 DE ABRIL,749",ARTUR NOGUEIRA / SP,1938772105,49.411.978/0001-35,187000081116,,CENTRO,********,13160184,Ativo / Inativo,contato@quintaldecoracoes.com.br,,
969,H. F. COMERCIO DE TECIDOS EIRELI,J,"R R SAMPSON,76",SAO PAULO / SP,1142539112,32.179.538/0001-00,123320527110,,BRAS,TERREO LOJA A,3013040,Ativo / Inativo,heloisadiaas@gmail.com,,
973,MOX TECIDOS LTDA,J,"R R PROFESSOR PINTO PEREIRA,21",SAO PAULO / SP,11947824660,19.068.217/0001-61,144965466111,,BRAS,********,3025010,Ativo / Inativo,pedidos@estilodepano.com,,
976,ESTILO DE PANO COMERCIO E REPRESENTACAO LTDA,J,"R RIO BONITO,403",SAO PAULO / SP,1127968050,03.270.174/0001-62,130474999115,,BRAS,SALA  02,3023000,Ativo / Ativo,katia@estilodepano.com.br,,
980,JL TECIDOS LTDA,J,"AV SENHOR DOS PASSOS,903",FEIRA DE SANTANA / BA,7591228850,17.650.967/0001-11,107211729,,CENTRO,,44002035,Ativo / Inativo,vendasjltecidos@gmail.com,,
985,LINO FARIAS & CIA,J,"AV PEREIRA TEIXEIRA,221",BARBACENA / MG,3233316749,71.481.527/0001-23,568726270081,,CENTRO,,36200034,Ativo / Ativo,,,
986,JEDE TEXTIL TECIDOS EIRELI,J,"R ARAGUARI,252",BELO HORIZONTE / MG,3132127676,21.288.700/0001-01,24544620015,,BARRO PRETO,,30190110,Ativo / Inativo,marrane@live.com,,
987,TECIDOS CASSIA NAHAS LTDA,J,"R DR MANUEL VITORINO,77",SAO PAULO / SP,1135313280,44.370.013/0001-28,110342856114,,BRAS,,3017020,Ativo / Inativo,sptex@cassianahas.com.br,,
988,VINI JUNIOR TEXTIL COMERCIO DE TECIDOS LTDA,J,"R DOUTOR ANGELO VITA,19",GUARULHOS / SP,1124681040,66.979.584/0001-05,336502560111,,JARDIM SAO PAULO,,7110120,Ativo / Inativo,vrjtecidos@gmail.com,,
989,TEXTIL E CONFECCOES OTIMOTEX LTDA,J,"R VISCONDE DE PARNAIBA,2631",SAO PAULO / SP,11983156204,47.273.917/0001-23,109518165110,,BELENZINHO,,3045002,Ativo / Inativo,daniela@lebianco.com.br,,
990,FABIO WILLIAN KRAUSER DA SILVA 04437162935,J,"R CARLOS BELAO,137",PIRAQUARA / PR,41995762524,33.802.914/0001-25,ISENTO,,VILA JULIANA,,83306120,Ativo / Bloqueado,suziellen@hotmail.com,,
991,W.D COMERCIO E INDUSTRIA DE CONFECCAO LTDA,J,"RUA LOURDES VAIRO BERNO,15",LARANJAL / MG,3234241244,15.870.292/0001-90,19898580054,,DE LOURDES,,36760000,Ativo / Inativo,walmisa@walmisa.com.br,,
992,CINK TEXTIL REPRESENTACOES COMERCIAIS LTDA,J,"R DETLEF PASSIG,103",BLUMENAU / SC,47988094774,26.472.048/0001-96,ISENTO,,VELHA,,89036450,Inativo / Inativo,cinktextil@gmail.com,,
993,TECIDAO COMERCIO DE TECIDOS E CONFECCOES EIRELI,J,"R DOUTOR MARURI,1041",CONCORDIA / SC,4934445341,95.770.863/0001-54,252570081,,CENTRO,,89700170,Ativo / Inativo,alfanacdia@gmail.com,,
995,TRANSPORTES TRANSLOVATO LTDA,J,"R JOAQUIM PELEGRINA LOPES,3",BAURU / SP,1433122600,89.823.918/0013-88,209345856116,,DISTRITO INDUSTRIAL III,150,17064851,Ativo / Ativo,,,
996,SPACK & CIA LTDA,J,"R MARECHAL DEODORO,530",CAMPO LARGO / PR,4133933932,11.472.609/0001-80,1080193951,,CENTRO,,83601020,Ativo / Inativo,felipe.spack530@hotmail.com,,
997,WALQUIRIA PEREIRA LIMA,J,"R CORDELINA SILVEIRA MATOS,",BELO HORIZONTE / MG,31999776450,28.166.195/0001-63,30028120035,,VILA DAS ANTENAS,,30494010,Ativo / Inativo,guilherme@designtextecidos.com.br,,
998,COMERCIO CAMINHO DA MALHA LTDA,J,"RUA 28 DE AGOSTO,439",GUARAMIRIM / SC,4799916559,13.955.953/0001-55,256463891,,NOVA ESPERANCA,SALA,89270000,Ativo / Inativo,caminhodamalha@hotmail.com,,
1000,M S DE PAIVA TECIDOS,J,"LD CAMPOS SALES,55",GUARULHOS / SP,1124822352,30.148.158/0001-74,127325931112,,CENTRO,SALA  02,7012013,Ativo / Inativo,maciel.caraubense@outlook.com,,
1001,LE HAIN COMERCIO DE VESTUARIO E ACESSORIOS EIRELI EPP,J,"AV PAULO DE FRONTIN,321",RIO DE JANEIRO / RJ,21995573557,21.410.937/0001-05,86837099,,PRACA DA BANDEIRA,AP 102,20261240,Ativo / Inativo,trammariopolo@gmail.com,,
1002,MOVVI LOGISTICA LTDA,J,"R DOIS,230",CONTAGEM / MG,3132110850,23.864.838/0001-29,1866087360193,,JARDIM RIACHO DAS PEDRAS,,32250010,Ativo / Ativo,coleta.bhz@movvi.com.br,,
1003,ESTRELA COMERCIO DE TECIDOSLTDA,J,"Q 1 BLOCO B,",BRASILIA - PLANALTINA / DF,61999441131,34.780.012/0001-06,793753300162,,SETOR COMERCIAL CENTRAL (PLANALTINA),,73310302,Ativo / Bloqueado,estrela3488@hotmail.com,,
1004,FEIRATEX COMERCIAL DE TECIDOS LTDA,J,"R PROFESSOR JOAO CANDIDO,30",LONDRINA / PR,4333214416,04.280.064/0002-25,9022783898,,CENTRO,,86010000,Ativo / Inativo,fremetexlondrina@gmail.com,,
1005,FEIRATEX COMERCIAL DE TECIDOS LTDA,J,"R BLEY ZORNING,1288",CURITIBA / PR,413286471141,04.280.064/0001-44,9022783111,,BOQUEIRAO,,81730350,Ativo / Inativo,fremetexpedidos@gmail.com,,
1006,PARANA TECIDOS EIRELI,J,"R CASA BLANCA,",BELO HORIZONTE / MG,31993087700,23.095.427/0001-16,26127040051,,ITATIAIA,,31365160,Ativo / Inativo,paranatecidos2015@gmail.com,,
1007,PIERRE MATTAR COMERCIO LTDA,J,"R CONSELHEIRO JOAO ALFREDO,76",BELEM / PA,9132412418,28.695.404/0001-66,155782908,,CAMPINA,,66013000,Ativo / Inativo,fnmattar@gmail.com,,
1008,BECHARA MATTAR COMERCIO DE TECICOS LTDA,J,"R TOMAZIA PERDIGAO,34",BELEM / PA,9132412418,04.910.113/0001-85,150006020,,CIDADE VELHA,,66020610,Ativo / Inativo,fnmattar@gmail.com,,
1009,VIA NAZIONALLE COM. IND. DE MODAS LTDA,J,"R CECILIA SCHWARTZNANN,175",ARAGUARI / MG,3432468939,04.380.698/0001-79,7021231370034,,PARAISO,,38445084,Ativo / Inativo,vianazionalle@gmail.com,,
1010,EBOING COMERCIO DE AVIAMENTOS LTDA,J,"AV AV LEOBERTO LEAL,16",SAO JOSE / SC,4733461117,30.081.892/0001-63,258645385,,BARREIROS,LOJA 1 E 2,88110001,Ativo / Inativo,eboingaviamentos@gmail.com,,
1011,COMERCIAL DE LINHAS E AVIAMENTOS MEURER LTDA,J,"R MARECHAL DEODORO DA FONSECA,813",INDAIAL / SC,4733947186,13.671.652/0001-08,256410518,,TAPAJOS,SALA 4,89080126,Ativo / Ativo,meureraviamento@hotmail.com,,
1013,JRC MALHAS E CONFECCAO EIRELI,J,"ROD ANTONIO HEIL,3270",BRUSQUE / SC,4730875555,13.950.538/0003-70,258866160,,CENTRO,SALA 14,88352500,Ativo / Inativo,jrcmalhas@outlook.com,,
1015,DROMO TECIDOS EIRELLI - EPP,J,"R ANGELO BERTONCINI,440",ASSIS / SP,1833251446,55.928.303/0001-60,189016988114,,CENTRO,,19800150,Ativo / Inativo,dromotecidos@uol.com.br,,
1016,TONY COWBER PEREIRA,J,"AV ELIAS CRUVINEL,1212",UBERABA / MG,3433321877,03.479.431/0001-70,7010505430003,,BOA VISTA,,38070100,Ativo / Inativo,casadasbolasltda@hotmail.com,,
1017,RODOVIARIO CAMILO DOS SANTOS FILHO LTDA,J,"R FRANCISCO DE SOUSA E MELO,1590",RIO DE JANEIRO / RJ,2135008000,19.451.038/0003-70,84327565,,CORDOVIL,GLP 2,21010410,Ativo / Ativo,,,
1019,MARLIZE MARIANA FORTE BARBIERI,J,"R BAERCKER WAGNER,180",JOINVILLE / SC,4734738366,09.133.734/0001-13,255490143,,IRIRIU,NUMERACAO COMERCIAL 1374,89227071,Ativo / Ativo,butterfly-malhas@hotmail.com,,
1021,P M MONICO - COMERCIO DE MALHAS,J,"R BAHIA,93",LONDRINA / PR,4333371643,13.733.323/0001-36,9055996072,,CENTRO,,86026020,Ativo / Inativo,compras@centralmalhas.com.br,,
1022,IMPORTADORA BRASILEIRA LTDA,J,"R SAO JOSE,2362",MACAPA / AP,9632232458,34.938.571/0001-93,30086766,,CENTRAL,,68900110,Ativo / Inativo,importadora.macapa@yahoo.com.br,,
1023,M A SASSINE,J,"R JOUBERT DE CARVALHO,1015",MARINGA / PR,4432273771,05.516.073/0001-54,9027471177,,ZONA 01,SALA-D,87013200,Ativo / Inativo,njacomel2@yahoo.com,,
1024,IDEALIZA TRANSPORTES EIRELI,J,"R SOLDADO RAFAEL PEREIRA,96",SAO PAULO / SP,1126675700,31.716.355/0001-05,123084629117,,PARQUE NOVO MUNDO,,2186060,Ativo / Ativo,financeiro.matriz@transluztransportes.com,,
1025,COMERCIO DE ARMARINHOS E AVIAMENTOS MARIJU LTDA,J,"RUA  JAPAO,348",TIMBO / SC,4733821481,81.378.671/0001-92,251868656,,DAS NACOES,EDIF OEL SL 1,89120000,Ativo / Inativo,mari.mariju@hotmail.com,,
1026,LAKEWOOD MERCANTIL DE TECIDOS LTDA,J,"R QUINZE DE NOVEMBRO,99",CURITIBA / PR,4133762026,23.434.827/0001-09,9070611080,,CENTRO,,80020310,Ativo / Ativo,tecelagemimperial@hotmail.com,,
1027,TECELAGEM SAFIRA LTDA,J,"R ANDRE DE BARROS,508",CURITIBA / PR,4133221359,72.214.018/0001-05,1019350009,,CENTRO,,80010080,Ativo / Inativo,javanesafashion@hotmail.com,,
1028,SANTA BATA COMERCIO DO VESTUARIO E ACESSORIOS LTDA,J,"R RUBENS GUELLI,135",SALVADOR / BA,71981010227,30.283.100/0001-33,148344033,,ITAIGARA,SHOPPING PASEO ITAIGARA LJ 109,41815135,Ativo / Inativo,gefersongermano@uol.com.br,,
1029,TRANSPORTADORA SANTANENSE LTDA,J,"R ALBERTO DE OLIVEIRA,50",MARINGA / PR,4432623408,72.354.004/0001-89,9043626890,,ZONA 06,,87015390,Ativo / Ativo,teste@teste.com.br,,
1031,DISPARADA TECIDOS LTDA,J,"RUA FERREIRA GUIMARAES,667",IGARATINGA / MG,3732461100,71.061.378/0001-43,3028452410044,,CENTRO,,35695000,Ativo / Ativo,disparada@nwm.com.br,,
1032,DR. JALECO BEZUNI EIRELI,J,"RUA 	RUA TOMAZ GONZAGA,445",PORTEIRINHA / MG,3838318105,31.132.789/0001-68,32481830032,,CENTRO,LETRA A,39520000,Ativo / Ativo,drjleco.cpmtato@gmail.com,,
1033,GUSTAVO COSTA GOMES,J,"R PADRE RAIMUNDO AVELINO DE MATOS,36",BARCARENA / PA,1139080600,22.604.898/0001-40,154891363,,VILA DOS CABANOS,,68447000,Ativo / Bloqueado,raimundodongugu@gmail.com,,
1034,LANFEL INDUSTRIA TEXTIL LTDA,J,"R THEODOR KLEINE,1878",BLUMENAU / SC,4733385248,10.399.310/0001-84,255818289,,FORTALEZA,,89060070,Ativo / Inativo,finaceiro@lanfel.com.br,,
1035,KADOSH COMERCIO E REPRESENT TEXTIL E IMOB,J,"R OURO PRETO,193",BELO HORIZONTE / MG,31997944265,35.040.792/0001-02,35580930089,,BARRO PRETO,LOJA A,30170040,Ativo / Inativo,kadoshtecidosbh@gmail.com,,
1036,MESQUITA UNIFORMES PROFISSIONAIS EIRELI,J,"R CARLOS CHAGAS,54",CONTAGEM / MG,3139729375,13.606.026/0001-20,22141240085,,INDUSTRIAL,LOJA,32235190,Ativo / Ativo,mesquitauniformes 2011@gmail.com,,
1037,KARMEM KAROLINY BARBOSA SILVA,J,"R PAULO FREIRE DE ARAUJO,50",BELO HORIZONTE / MG,31975612429,28.617.361/0001-09,30404460046,,ESTORIL,SALA 7,30494280,Ativo / Inativo,faleconoscolk@gmail.com,,
1038,SC MALHAS COMERCIO DE TECIDOS LTDA,J,"R MELCHIOR SCHLINDWEIN,171",BRUSQUE / SC,4732520190,29.953.597/0001-70,258621338,,SANTA TEREZINHA,,88352210,Ativo / Inativo,cottonflextecidos@hotmail.com,,
1039,ATELIE CASA DE PANO E COMERCIO LTDA,J,"R VOLUNTARIOS DA PATRIA,145",BLUMENAU / SC,4730351188,28.276.113/0001-33,258640707,,BOM RETIRO,,89010650,Ativo / Inativo,patricia@centerpanos.com.br,,
1040,JUAN ENRIQUE SALINAS ESTAY,J,"R BENEDITO MENEZES,2783",FRANCA / SP,16981492058,22.247.499/0001-79,310576167113,,JARDIM DOUTOR ANTONIO PETRAGLIA,,14409071,Ativo / Inativo,patricia@emporiodosbojos.com.br,,
1041,MARINTEX COMERCIO DE TECIDOS E MALHAS EIRELI - EPP,J,"R JOUBERT DE CARVALHO,955",MARINGA / PR,4432275452,02.028.478/0001-55,9013821159,,ZONA 01,,87013200,Ativo / Ativo,leandromarintex@hotmail.com,,
1042,ANDRESSA PECEGO MARTINS ROMANO MOREIRA,J,"R SAO PAULO,1057",RIBEIRAO PRETO / SP,16981492058,07.740.045/0001-41,582698517114,,CAMPOS ELISEOS,,14085010,Ativo / Inativo,borellicontabilidade@netsite.com.br,,
1043,IRMAOS KHATTAR LTDA,J,"R VINTE E CINCO DE MARCO,614",SAO PAULO / SP,11942541112,61.346.920/0001-50,104967166110,,CENTRO,,1021100,Ativo / Inativo,khattar@terra.com.br,,
1044,FIO POA INDUSTRIA E COMERCIO DE VESTUARIO LTDA,J,"R BENEDITO ALVES DELFINO,",MARILIA / SP,1433164102,26.836.184/0001-18,438388134111,,DISTRITO INDUSTRIAL,,17512043,Ativo / Inativo,deise.santosfiopoa.com.br,,
1045,JRM TEXTIL LTDA,J,"R 205,726",GOIANIA / GO,6232334133,04.517.297/0001-18,103713905,,SETOR CAMPINAS,QUADRA132B                LOTE  03,74513055,Ativo / Inativo,nfejrm@yahoo.com,,
1046,CASA MACENA TECIDOS EIRELI,J,"R OURO PRETO,318",BELO HORIZONTE / MG,31983261000,35.019.486/0001-94,35563990010,,BARRO PRETO,,30170040,Ativo / Inativo,marcioruo@gmail.com,,
1047,ANTONIO DA CUNHA MENEZES JUNIOR,J,"R CAPITAO NELSON ALBUQUERQUE,27",BELO HORIZONTE / MG,31984586363,15.359.258/0001-56,19455240068,,VENDA NOVA,,31610280,Ativo / Inativo,territoriodostecidos@gmail.com,,
1048,TOCANTINS TRANSPORTES E LOGISTICA LTDA,J,"R ITAPE,274",GUARULHOS / SP,1124121266,07.784.847/0008-20,336984857112,,JARDIM MARIA DIRCE,,7173400,Ativo / Ativo,fernanda@tocantinstransportes.com.br,,
1050,BRASPRESS TRANSPORTES URGENTES LTDA,J,"R DOMINGOS PACHECO,149",SAO PAULO / SP,1121889000,48.740.351/0124-14,146144335110,,JARDIM JULIETA,LOTE 09 QUADRA04,2162020,Ativo / Ativo,braspress@nccserver.com.br,,
1051,LEIDIMAR VIEIRA CAMARGOS CPF 058.257.406-43,J,"R PADRE CALDEIRA,435",PATOS DE MINAS / MG,3438236097,08.171.607/0001-46,10125130074,,CENTRO,,38700044,Ativo / Ativo,leidimarcamargos@outlook.com,,
1052,TECIDOS CARNEVALLI'S LTDA,J,"R ALMIRANTE BARROSO,470",SAO PAULO / SP,1126921813,29.696.643/0001-01,119048028110,,BRAS,,3025000,Ativo / Inativo,tecidoscarnevallis@gmail.com,,
1053,MICHELE MARIA ARTHUSO 05696741665,J,"AV AUGUSTO DE LIMA,1259",BELO HORIZONTE / MG,3125593008,19.268.502/0001-26,25411080053,,BARRO PRETO,14 C,30190002,Ativo / Inativo,michellyarth@yahoo.com.br,,
1054,TABUTEX TECIDOS LTDA,J,"AV TUCURUVI,433",SAO PAULO / SP,1141383139,35.020.638/0001-79,131850879112,,TUCURUVI,,2305001,Ativo / Ativo,dexterno@lapalaboriosa.com.br,,
1055,HELEN PRISCILA NUNES SAQUETTO,J,"AV TROPICAL,1826",CONTAGEM / MG,3198214251,32.870.753/0001-44,33873930099,,TROPICAL,,32070380,Ativo / Inativo,anainaciobasilio78@gmail.com,,
1056,DF LINGERIE EIRELI,J,"AV ARCEBISPO DOM GERALDO FERNANDES,1170",LONDRINA / PR,4333238797,13.457.151/0001-15,9055624523,,CENTRO,W-LJ.01A04,86026720,Ativo / Ativo,bruno_meranca@hotmail.com,,
1057,IRENI FRASAO BASSI EIRELI - ME,J,"AV SAO PAULO,76",GOIANIA / GO,6294134848,23.517.872/0001-27,106453203,,SETOR CAMPINAS,LOTE 03 SLJ 01,74510030,Ativo / Inativo,tfbrepres@gmail.com,,
1058,BMS COMERCIO DE TECIDOS LTDA ME,J,"Q ST G NORTE   AE P CINEMA  LOJA 15  ED  TAGUACENTER .NS,15",BRASILIA TAGUATINGA / DF,6132222674,16.513.297/0001-29,761551600108,,TAGUATINGA SUL (TAGUATINGA),,72020016,Ativo / Inativo,guilherme @designtextecidos.com.br,,
1059,VEST SURF IND COM IMP E EXP DE ROUPAS LTDA.,J,"R BOA VENTURA X SAO JOSE DO PATRIMOBIO,0",ITAPERUNA / RJ,32999941751,08.409.412/0001-91,78198290,,BOA VENTURA,KM 02 ALTOS,28340000,Ativo / Ativo,xml@vestsurf.com.br,,
1060,ROYAL TEXTIL COMERCIO DE MALHAS EIRELI,J,"R DOS GOITACAZES,1298",BELO HORIZONTE / MG,3134642722,27.930.158/0001-17,29826870048,,BARRO PRETO,LOJA B,30190052,Ativo / Inativo,diniztextilrep@dmail.com,,
1061,ELIEZER CAETANO DE BRITO EIRELI,J,"R 8,430",GOIANIA / GO,62991458406,35.049.694/0001-36,107764890,,SETOR CASTELO BRANCO,,74403120,Ativo / Inativo,sheilaestamparia@gmail.com,,
1062,IMPORTEXTIL CORTINAS E DECORACOES LTDA,J,"R ARAGUARI,234",BELO HORIZONTE / MG,3133212850,30.601.152/0001-00,32039430032,,BARRO PRETO,,30190110,Ativo / Inativo,importextil.karine@gmail.com,,
1064,DIONE ANTUNES MIRANDA,J,"R URSULA PAULINO,1382",BELO HORIZONTE / MG,31996302006,24.422.999/0001-25,27289290097,,BETANIA,,30580002,Ativo / Inativo,tecnotv2000@yahoo.com.br,,
1065,BELLARMINO COM DE TEC E MALH LTDA,J,"AV BRASIL,6069",MARINGA / PR,4432275452,32.980.615/0001-18,9080720065,,ZONA 05,,87015280,Ativo / Inativo,finaceiro@marintex.com.br,,
1067,"UALL CRETIVE INDUSTRIA , COMERCIO SERV LTDA",J,"R JOAO HONORATO DA SILVEIRA,1700",SAO JOSE / SC,4833430012,07.642.769/0001-52,255105800,,FORQUILHAS,,88107750,Ativo / Inativo,giovane.nascimento@uatt.com.br,,
1068,LETICIA'S MODAS EIRELI,J,"ROD WASHINGTON LUIZ,1308",DUQUE DE CAXIAS / RJ,2124012041,18.477.051/0001-74,79961663,,JARDIM GRAMACHO,LOJA90,25065007,Ativo / Inativo,beachhoude119@gmail.com,,
1069,KAYLAND RIO INDUSTRIA E COMERCIO LTDA,J,"R VITAL,292",RIO DE JANEIRO / RJ,2134891851,10.958.036/0001-36,78789409,,QUINTINO BOCAIUVA,,21380210,Ativo / Inativo,jorge@kayland.com.br,,
1070,TUHANE DANTAS DE RAMOS,J,"R BLEY ZORNING,1125",CURITIBA / PR,4132869013,26.003.833/0001-08,9072963188,,BOQUEIRAO,,81730350,Ativo / Inativo,artdasmalhas@hotmail.com,,
1071,ARMARINHOS NODARI LTDA,J,"R JOSE LOUREIRO,370",CURITIBA / PR,4132232712,09.664.144/0001-17,9044528743,,CENTRO,,80010000,Ativo / Inativo,nodariarmarilhos@gmail.com,,
1072,PAULO VICTOR DE OLIVEIRA MIOTTA,J,"AV AVENIDA VEREADOR TOALDO TULIO - DE 2376/2377 A 4129/4130,3060",CURITIBA / PR,4132720685,27.739.542/0001-37,9074997586,,SAO BRAZ,LJ06,82300332,Ativo / Inativo,tecidosaojose@hotmail.com,,
1073,RETALHAO MENEZES - EIRELI,J,"AV JOAO CESAR DE OLIVEIRA,",CONTAGEM / MG,3133516017,02.946.640/0001-14,1860116650039,,ELDORADO,,32340000,Ativo / Inativo,ratalhaomenezes@gmail.com,,
1074,ITALIA COMERCIAL TEXTIL LTDA,J,"R ALMIRANTE BARROSO,308",SAO PAULO / SP,1122014250,01.190.978/0001-26,114633632110,,BRAS,,3025000,Ativo / Inativo,adm.italiatecidos@yahoo.com.br,,
1075,RIO BR COMERCIAL TEXTIL,J,"AV VEREADOR ABRAHAO JOAO FRANCISCO,4469",ITAJAI / SC,4733466233,14.621.158/0001-93,256572160,,DOM BOSCO,,88307302,Ativo / Ativo,contato@riobrtextil.com.br,,
1076,E LECA PEREIRA PROMOCOES LTDA,J,"R SANTOS DUMONT,56",CAMPOS DOS GOYTACAZES / RJ,22998459693,72.045.800/0001-30,85733494,,CENTRO,LJ 01,28010220,Ativo / Inativo,slourenzo@globo.com,,
1077,ALCIDES OJEDA RUIZ DIAS,J,"R LAGOA NOVA,104",SAO PAULO / SP,11983168871,32.642.871/0001-03,123556673110,,PARQUE CISPER,,3817200,Ativo / Inativo,daynorvasque@gmail.com,,
1078,FRAMA CONFECCOES LTDA,J,"ROD MG-431,0",ITAUNA / MG,37999314870,22.139.992/0001-75,3385034440055,,SANTA MONICA,KM 45,35681247,Ativo / Inativo,compras@obbia.com.br,,
1079,JS COMERCIO DE TECIDOS EIRELI,J,"R BARTOLOMEU LOURENCO DE GUSMAO,5012",CURITIBA / PR,4133868900,32.049.756/0001-11,9079796953,,BOQUEIRAO,,81730040,Ativo / Inativo,financeiro@djohnmalhas.com,,
1080,G.F. TAYAR,J,"R ANTONIO ALVES,23",BAURU / SP,1432064515,15.034.569/0001-45,209459995117,,VILA SANTA TEREZA,,17012060,Ativo / Ativo,aguinaldomathias8@yahoo.com.br,,
1081,E.  DE OLIVEIRA BARBOSA,J,"AV MINAS GERAIS,669",GOIANIA / GO,62981467268,28.367.743/0001-13,107303612,,SETOR CAMPINAS,QD 81 LOTE 03 SALA 01,74510040,Ativo / Ativo,ericoeob@gmail.com,,
1082,MELISSA MMC MODAS EIRELI,J,"R ALVORADA,306",SANTA LUZIA / MG,31984036852,24.743.446/0001-74,27555290030,,ASTECA,,33105510,Ativo / Inativo,melissamodas2014@gmail.com,,
1083,PORTAL DOS TECIDOS COMERCIO TEC E ACESS,J,"R CARLOS DIETZSCH,161",CURITIBA / PR,4132290763,07.082.044/0001-57,9032295514,,PORTAO,,80330000,Ativo / Inativo,marilu.financeiro@gmail.com,,
1085,DISTRIBUIDORA E IMPORTADORA DE TECIDOS LUCENA LTDA,J,"AV GREGORIO DE MATOS,",CARUARU / PE,8137217677,11.695.541/0001-06,13836390,,PETROPOLIS,,55030230,Ativo / Inativo,financeiromarajo1@gmail.com,,
1086,FRUTO PROIBIDO COMERCIAL E INDUSTRIAL LTDA,J,"R TAMANDARE,268",BELO HORIZONTE / MG,3133147491,66.320.789/0001-76,627694970048,,JOAO PINHEIRO,,30530240,Ativo / Ativo,financeiro@claudiarabelo.com.br,,
1087,A S FIGUEIREDO,J,"R LOBO D'ALMADA,257",MANAUS / AM,92994408457,63.708.796/0001-51,41280334,,CENTRO,,69010030,Ativo / Inativo,dedarmarinho@gmail.com,,
1088,CASA BITTENCOURT DISTRIBUIDORA LTDA,J,"R ERWIN SCHNEIDER,23",BLUMENAU / SC,4733400349,01.765.420/0001-21,253479339,,CENTRO,,89012100,Ativo / Ativo,finaceiro@casabitencourt.com.br,,
1089,CASA BOA VISTA COMERCIO LTDA,J,"AV HERCILIO LUZ,818",FLORIANOPOLIS / SC,4833077100,27.544.996/0001-52,258316845,,CENTRO,,88020000,Ativo / Ativo,gilberto@casaboavista.com.br,,
1090,LUANA DA SILVA ARMARINHOS,J,"R DOUTOR BLEY ZORNIG,1500",CURITIBA / PR,4133596431,24.746.522/0001-03,9072106501,,BOQUEIRAO,,81730350,Ativo / Inativo,baudosarmarinhos@hotmail.com,,
1091,EDIVALDO JOSE BEZERRA,J,"R MAXIMO DE TATE,135",SOROCABA / SP,1533465303,12.318.091/0001-97,669013747112,,JARDIM SAO GUILHERME,SALA 01,18074629,Ativo / Inativo,workshopfios@bol.com.br,,
1093,N. M. INDUSTRIA E COMERCIO DE CONFECCOES LTDA,J,"RUA BENJAMIN CONSTANT,1759",LAGOA VERMELHA / RS,5433585229,91.531.590/0001-34,710056915,,CENTRO,,95300000,Ativo / Inativo,cinderela_modas@outlook.com,,
1094,EXPRESSO SAO MIGUEL LTDA,J,"ROD RS 404,1803",SARANDI / RS,5433614490,00.428.307/0005-11,1330056121,,JACUTINGA,,99560000,Ativo / Ativo,expressosaomiguel.com.br,,
